,zip_code
19153.0,270
8093.0,269
7647.0,269
17236.0,269
17820.0,268
10075.0,268
4736.0,268
7746.0,268
8057.0,268
6071.0,268
1095.0,267
7438.0,267
10607.0,267
10307.0,267
15926.0,267
15748.0,267
957.0,267
1571.0,266
8244.0,266
3051.0,266
8003.0,266
8751.0,266
2878.0,266
19106.0,265
1730.0,265
6512.0,265
2143.0,265
8022.0,265
17033.0,265
8850.0,265
7075.0,265
10014.0,265
10065.0,265
11545.0,265
17857.0,265
2144.0,264
22556.0,264
12487.0,264
10923.0,264
44030.0,264
12834.0,264
8863.0,263
17922.0,263
16509.0,263
11213.0,263
16226.0,263
19530.0,263
13754.0,262
6614.0,262
20759.0,262
1030.0,262
1832.0,262
19560.0,261
19060.0,261
7206.0,261
8736.0,261
1867.0,261
2346.0,261
3055.0,261
2184.0,260
7029.0,260
16365.0,260
6331.0,260
3031.0,259
18421.0,259
10605.0,259
7677.0,259
17057.0,259
16050.0,259
18020.0,258
14569.0,258
7719.0,258
15021.0,258
12461.0,258
2915.0,257
7012.0,257
21617.0,257
15610.0,257
12078.0,257
2769.0,257
15946.0,257
2072.0,256
16229.0,256
5672.0,256
15074.0,256
44471.0,256
8260.0,256
44425.0,255
11703.0,255
19952.0,255
2468.0,255
16502.0,255
6382.0,254
19044.0,254
7201.0,254
2466.0,254
2857.0,254
14619.0,254
16102.0,253
1830.0,253
6354.0,253
20155.0,253
7504.0,253
8882.0,253
6371.0,252
2840.0,252
13041.0,252
7734.0,252
10916.0,252
22551.0,252
10528.0,251
8731.0,251
6026.0,251
6824.0,251
7444.0,251
2021.0,251
21131.0,250
12407.0,250
14047.0,250
14731.0,250
7462.0,250
21911.0,249
15537.0,249
6851.0,249
17965.0,249
11722.0,249
18350.0,249
4963.0,248
19341.0,248
8043.0,248
15636.0,248
12123.0,247
7513.0,247
2062.0,247
15473.0,247
10537.0,246
15825.0,246
19033.0,246
20622.0,246
11950.0,246
2067.0,246
11101.0,245
17025.0,245
1119.0,245
12583.0,245
11577.0,245
14580.0,244
11576.0,244
18512.0,244
15014.0,244
7057.0,243
1841.0,243
7604.0,243
2494.0,243
10514.0,242
19350.0,242
10941.0,242
12173.0,242
12095.0,242
20152.0,242
2121.0,241
1960.0,240
1106.0,240
16055.0,239
18222.0,239
7662.0,239
11363.0,239
18109.0,239
739.0,239
13642.0,239
19067.0,238
2150.0,238
20710.0,238
11024.0,238
11766.0,238
7463.0,238
17584.0,238
3062.0,238
11767.0,237
2673.0,237
11217.0,237
3820.0,237
2859.0,236
6712.0,236
11004.0,236
